                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.68929,                0.60703,                 1.0244,                0.92679,                0.96491,                0.98788,                0.89184,                0.52776,                0.34864,                0.95261,               0.007822,               0.007822,               0.007822
                     57,                0.69178,                0.59785,                 1.0259,                 0.9302,                0.96464,                0.99053,                  0.895,                0.52189,                0.34155,                0.94581,              0.0077824,              0.0077824,              0.0077824
                     58,                0.68712,                0.59912,                  1.024,                0.93914,                0.95462,                0.98993,                0.89656,                0.51417,                 0.3239,                0.93896,              0.0077428,              0.0077428,              0.0077428
                     59,                0.68277,                0.60181,                 1.0228,                0.88021,                0.97898,                0.99164,                 0.8962,                0.51023,                0.33258,                0.93704,              0.0077032,              0.0077032,              0.0077032
                     60,                0.68809,                0.59793,                 1.0226,                0.92551,                 0.9689,                0.99178,                0.89776,                0.51898,                0.32115,                0.94455,              0.0076636,              0.0076636,              0.0076636
                     61,                0.68794,                0.59023,                 1.0267,                0.92548,                0.97143,                0.99173,                0.89868,                0.50495,                 0.3221,                0.93313,               0.007624,               0.007624,               0.007624
                     62,                0.68812,                0.58816,                 1.0235,                0.94058,                0.97147,                0.99106,                0.89706,                 0.5024,                0.32228,                0.93197,              0.0075844,              0.0075844,              0.0075844
                     63,                0.67763,                0.58478,                 1.0198,                0.94076,                0.96937,                0.99064,                0.89778,                0.50202,                0.32272,                0.93239,              0.0075448,              0.0075448,              0.0075448
                     64,                 0.6788,                0.58255,                 1.0181,                0.93192,                0.97695,                0.99106,                0.89915,                0.50056,                 0.3232,                0.92957,              0.0075052,              0.0075052,              0.0075052
                     65,                0.67939,                0.58196,                 1.0206,                0.94136,                 0.9641,                0.99207,                0.90284,                 0.5029,                0.31556,                0.93217,              0.0074656,              0.0074656,              0.0074656
                     66,                0.67816,                0.57769,                  1.017,                0.92318,                0.97767,                0.99181,                0.90545,                0.49866,                0.31508,                0.92592,               0.007426,               0.007426,               0.007426
                     67,                0.67088,                0.57765,                 1.0177,                0.94229,                0.97163,                0.99223,                0.90202,                0.49095,                0.31122,                0.92117,              0.0073864,              0.0073864,              0.0073864
                     68,                0.67275,                0.57201,                 1.0188,                0.94592,                0.96611,                0.99207,                0.90841,                0.48899,                0.30623,                0.91932,              0.0073468,              0.0073468,              0.0073468
                     69,                  0.673,                0.56245,                 1.0173,                0.91661,                0.98412,                0.99271,                0.91075,                0.48196,                0.30331,                0.91426,              0.0073072,              0.0073072,              0.0073072
                     70,                0.66995,                 0.5623,                 1.0156,                0.92657,                0.97397,                0.99226,                0.90528,                0.48665,                0.29851,                 0.9185,              0.0072676,              0.0072676,              0.0072676
                     71,                0.66117,                0.55275,                 1.0095,                0.94691,                0.97315,                0.99245,                0.90868,                0.48183,                0.29723,                0.91463,               0.007228,               0.007228,               0.007228
                     72,                0.66497,                0.54269,                 1.0116,                0.94152,                 0.9749,                0.99296,                0.90972,                0.47778,                0.29037,                0.91137,              0.0071884,              0.0071884,              0.0071884
                     73,                0.65855,                0.54668,                 1.0109,                0.94486,                0.97932,                0.99316,                0.90965,                0.47521,                0.28949,                0.91135,              0.0071488,              0.0071488,              0.0071488
                     74,                0.66164,                0.54997,                 1.0133,                0.92751,                0.98366,                0.99316,                0.90898,                0.47377,                0.29286,                0.91083,              0.0071092,              0.0071092,              0.0071092
                     75,                0.65516,                0.54109,                 1.0087,                0.94474,                0.97769,                0.99299,                0.91269,                0.47358,                0.29192,                0.90915,              0.0070696,              0.0070696,              0.0070696
                     76,                 0.6621,                0.54715,                 1.0099,                0.93563,                0.97253,                0.99337,                0.91542,                 0.4717,                0.28664,                0.90718,                0.00703,                0.00703,                0.00703
                     77,                0.64902,                0.54186,                  1.004,                0.94401,                0.96841,                0.99335,                0.91208,                0.46477,                0.28729,                0.90368,              0.0069904,              0.0069904,              0.0069904
                     78,                 0.6576,                0.53696,                 1.0092,                0.93948,                0.97945,                0.99284,                0.91062,                0.46411,                0.28239,                0.90218,              0.0069508,              0.0069508,              0.0069508
                     79,                0.65232,                0.54067,                 1.0101,                0.93065,                0.98095,                 0.9931,                0.91275,                0.46284,                0.28277,                0.90048,              0.0069112,              0.0069112,              0.0069112
                     80,                0.65239,                0.53249,                  1.007,                0.93173,                0.97871,                0.99333,                0.91605,                0.45883,                 0.2836,                0.89818,              0.0068716,              0.0068716,              0.0068716
                     81,                0.65132,                0.53117,                 1.0054,                0.94329,                0.97419,                0.99287,                0.91594,                0.45595,                0.27747,                0.89589,               0.006832,               0.006832,               0.006832
                     82,                0.64308,                0.53135,                 1.0037,                0.94643,                0.97588,                0.99301,                0.91594,                0.45934,                 0.2791,                0.89656,              0.0067924,              0.0067924,              0.0067924
                     83,                0.64808,                0.52666,                 1.0009,                0.94446,                0.97751,                0.99283,                0.91824,                0.45379,                0.27748,                0.89326,              0.0067528,              0.0067528,              0.0067528
                     84,                0.64557,                0.52142,                  1.002,                0.94781,                0.97741,                0.99296,                0.91897,                0.45609,                0.27291,                0.89374,              0.0067132,              0.0067132,              0.0067132
                     85,                0.64429,                0.52125,                 1.0041,                 0.9473,                0.98072,                0.99302,                0.92029,                0.45316,                0.27342,                0.89289,              0.0066736,              0.0066736,              0.0066736
                     86,                0.64289,                0.52156,                 1.0009,                0.94582,                0.98331,                0.99343,                0.91742,                0.45076,                0.26927,                0.89096,               0.006634,               0.006634,               0.006634
                     87,                0.64575,                0.51532,                 1.0019,                0.93063,                0.98636,                0.99337,                0.91837,                0.45048,                 0.2716,                0.89141,              0.0065944,              0.0065944,              0.0065944
                     88,                0.64417,                0.51127,                 1.0025,                0.94193,                0.98386,                  0.993,                0.92213,                0.44592,                 0.2697,                0.88873,              0.0065548,              0.0065548,              0.0065548
                     89,                0.63799,                0.51349,                 1.0014,                0.94847,                0.98279,                0.99313,                0.92331,                0.44564,                0.26908,                0.88894,              0.0065152,              0.0065152,              0.0065152
                     90,                0.63483,                0.50829,                0.99586,                 0.9498,                0.98007,                0.99329,                0.92265,                0.44399,                0.26898,                0.88761,              0.0064756,              0.0064756,              0.0064756
                     91,                0.63727,                0.50649,                0.99664,                0.94745,                0.98308,                0.99356,                0.92299,                0.44174,                0.26647,                0.88585,               0.006436,               0.006436,               0.006436
                     92,                0.63556,                 0.5066,                0.99588,                0.94922,                0.97268,                0.99362,                0.92237,                0.43649,                0.26575,                0.88346,              0.0063964,              0.0063964,              0.0063964
                     93,                0.62999,                0.50035,                0.99714,                 0.9355,                0.98835,                0.99354,                0.92429,                0.43515,                0.26269,                0.88378,              0.0063568,              0.0063568,              0.0063568
                     94,                0.63179,                 0.4957,                0.99567,                0.93496,                 0.9883,                0.99348,                0.92652,                0.43382,                0.25873,                0.88155,              0.0063172,              0.0063172,              0.0063172
                     95,                0.62626,                0.49397,                0.99219,                0.94805,                0.98391,                0.99337,                0.92567,                0.43311,                0.25794,                0.88143,              0.0062776,              0.0062776,              0.0062776
                     96,                0.62191,                0.49708,                0.99372,                0.94568,                0.98446,                0.99352,                0.92591,                0.43119,                0.25472,                0.88057,               0.006238,               0.006238,               0.006238
                     97,                0.63184,                0.49892,                0.99675,                0.94978,                0.98039,                0.99357,                0.92488,                0.43137,                0.25332,                0.87963,              0.0061984,              0.0061984,              0.0061984
